City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bereda,ES,2021-10-23 03:07:59,43.2686,-7.5406,45.57,100,9,1.48
1,Hobart,AU,2021-10-23 03:00:26,-42.8794,147.3294,57.02,90,75,1.01
2,Yellowknife,CA,2021-10-23 03:01:01,62.456,-114.3525,41.56,85,80,17.0
3,Barrow,US,2021-10-23 03:01:01,71.2906,-156.7887,30.22,86,90,6.91
4,Lorengau,PG,2021-10-23 03:08:00,-2.0226,147.2712,84.85,69,77,7.83
5,Busselton,AU,2021-10-23 03:01:03,-33.65,115.3333,65.01,54,0,5.61
6,Saskylakh,RU,2021-10-23 03:03:10,71.9167,114.0833,-11.74,100,91,2.26
7,Bambous Virieux,MU,2021-10-23 03:02:27,-20.3428,57.7575,74.21,80,47,14.79
8,Tuktoyaktuk,CA,2021-10-23 03:03:23,69.4541,-133.0374,34.21,90,100,15.68
9,Castro,BR,2021-10-23 03:03:11,-24.7911,-50.0119,54.81,79,0,3.31
10,Hermanus,ZA,2021-10-23 03:03:24,-34.4187,19.2345,56.8,83,100,23.78
11,Zhezkazgan,KZ,2021-10-23 03:03:12,47.8043,67.7144,40.12,60,71,17.47
12,Bathsheba,BB,2021-10-23 03:03:25,13.2167,-59.5167,81.72,69,100,19.8
13,Avarua,CK,2021-10-23 03:00:41,-21.2078,-159.775,73.45,64,100,8.05
14,Mar Del Plata,AR,2021-10-23 03:06:48,-38.0023,-57.5575,56.08,91,90,1.99
15,East London,ZA,2021-10-23 03:08:02,-33.0153,27.9116,63.57,58,42,5.3
16,Kruisfontein,ZA,2021-10-23 03:03:25,-34.0033,24.7314,61.88,56,100,7.52
17,Mariental,NA,2021-10-23 03:03:26,-24.6333,17.9667,57.63,32,0,9.13
18,Pacific Grove,US,2021-10-23 03:08:03,36.6177,-121.9166,59.4,89,90,4.0
19,Portland,US,2021-10-23 03:03:32,45.5234,-122.6762,54.45,92,40,5.99
20,Hasaki,JP,2021-10-23 03:08:03,35.7333,140.8333,66.29,51,1,14.45
21,Springdale,US,2021-10-23 03:07:15,36.1867,-94.1288,62.51,66,75,5.75
22,Upernavik,GL,2021-10-23 03:08:04,72.7868,-56.1549,21.11,83,100,5.41
23,Ushuaia,AR,2021-10-23 03:08:04,-54.8,-68.3,38.86,93,75,32.21
24,Ibotirama,BR,2021-10-23 03:08:00,-12.1853,-43.2206,72.36,89,94,1.81
25,Ancud,CL,2021-10-23 03:08:05,-41.8697,-73.8203,46.42,83,98,9.17
26,Chekhov,RU,2021-10-23 03:07:50,55.1431,37.4711,44.1,72,100,12.84
27,Dikson,RU,2021-10-23 03:08:05,73.5069,80.5464,13.68,87,99,18.12
28,Gladstone,AU,2021-10-23 03:03:29,-23.85,151.25,89.78,51,0,8.05
29,Fortuna,US,2021-10-23 03:08:05,40.5982,-124.1573,56.32,84,90,4.0
30,Airai,TL,2021-10-23 03:08:06,-8.9266,125.4092,81.3,38,60,2.1
31,Rikitea,PF,2021-10-23 03:06:44,-23.1203,-134.9692,74.23,83,7,19.73
32,Kapaa,US,2021-10-23 03:08:06,22.0752,-159.319,80.58,83,90,4.0
33,Punta Arenas,CL,2021-10-23 03:08:07,-53.15,-70.9167,39.11,86,46,27.65
34,Bilibino,RU,2021-10-23 03:08:07,68.0546,166.4372,-0.62,97,98,1.9
35,Dalbandin,PK,2021-10-23 03:03:32,28.8947,64.4101,56.43,25,0,7.43
36,Kaitangata,NZ,2021-10-23 03:08:08,-46.2817,169.8464,60.6,61,96,7.14
37,Manicore,BR,2021-10-23 03:03:32,-5.8092,-61.3003,77.5,71,36,2.24
38,Vaini,TO,2021-10-23 03:08:08,-21.2,-175.2,77.16,78,40,11.5
39,Ternate,ID,2021-10-23 03:08:09,0.8,127.4,84.43,68,84,5.88
40,Bluff,NZ,2021-10-23 03:08:09,-46.6,168.3333,56.52,68,96,12.01
41,Hithadhoo,MV,2021-10-23 03:08:09,-0.6,73.0833,82.38,72,100,11.97
42,Kieta,PG,2021-10-23 03:08:10,-6.2167,155.6333,85.39,68,22,8.01
43,Mataura,NZ,2021-10-23 03:03:34,-46.1927,168.8643,72.03,39,96,1.95
